departingAirportTicker,arrivingAirportTicker,pointType,numberOfPointsReq,cashReq,class,airlineName,isCashRoute,roundTripReq
LAX,NAN,Alaska,40000,1.11,Coach,Qantas,FALSE,FALSE
LAX,NAN,FlyingBlue,50000,1.11,Coach,Korean,FALSE,FALSE
JFK,BRU,Etihad,10986,1.11,Coach,Brussels,FALSE,FALSE
JFK,BRU,Cash,0,272.5,Coach,TAP,TRUE,TRUE
JFK,TXL,Avios,20000,40,Coach,Air Berlin,FALSE,FALSE
JFK,TXL,Cash,0,254,Coach,TAP,TRUE,TRUE
JFK,TXL,AA,25000,1.11,Coach,Air Berlin,FALSE,FALSE
JFK,MAD,Iberia,17000,1.11,Coach,Iberia,FALSE,FALSE
JFK,MAD,AA,22500,1.11,Coach,AA,FALSE,FALSE
LAX,LIH,AA,22500,1.11,Coach,AA,FALSE,FALSE
LAX,LIH,Avios,12500,1.11,Coach,AA,FALSE,FALSE
LAX,LIH,Cash,0,283,Coach,United,TRUE,TRUE
LAX,HNL,Avios,12500,1.11,Coach,AA,TRUE,TRUE
